Idx	CourseName	InstructorName	StudentNumber	CourseQuality	InstructorQuality	Difficulty
135	CIS-501-001	 MILO M. K. MARTIN	128	3.26	3.02	3.55
136	CIS-501-001	 JOSEPH DEVIETTI	80	2.92	3.15	2.6
137	CIS-520-001	 LAWRENCE K. SAUL	47	3.09	3.16	3.44
138	CIS-520-001	 LAWRENCE K. SAUL	41	3.14	3.36	3.32
139	CIS-520-001	 LAWRENCE K. SAUL	43	3.47	3.26	3.61
140	CIS-520-001	 LYLE H UNGAR	8	2.5	3	2.88
141	CIS-520-002	 LYLE H UNGAR	40	2.8	3.6	2.57
142	CIS-520-001	 LAWRENCE K. SAUL	57	3.27	3.35	3.29
143	CIS-520-001	 LYLE H UNGAR	16	2.75	3	2.25
144	CIS-520-002	 LYLE H UNGAR	54	2.47	3.02	2.61
145	CIS-520-001	 BENJAMIN TASKAR	19	2.53	3.4	2.6
146	CIS-520-002	 BENJAMIN TASKAR	28	3	3.61	3.05
147	CIS-520-001	 BENJAMIN TASKAR	21	1.83	3.17	2.25
148	CIS-520-002	 BENJAMIN TASKAR	52	1.93	3.9	1.55
149	CIS-520-001	 BENJAMIN TASKAR	16	3.23	3.55	2.92
150	CIS-520-002	 BENJAMIN TASKAR	66	3	3.53	2.98
151	CIS-520-001	 BENJAMIN TASKAR	123	3.25	3.59	3.03
152	CIS-520-001	 BENJAMIN TASKAR	145	3.04	3.55	2.89
153	CIS-520-001	 LYLE H UNGAR	129	2.83	3.3	2.67
154	CIS-520-001	 LYLE H UNGAR	123	2.83	3.42	2.84
155	CIS-550-001	 SUSAN B DAVIDSON	63	3.18	2.75	3.12
156	CIS-550-001	 ZACHARY G. IVES	45	3.14	2.65	3.24
157	CIS-550-001	 ZACHARY G. IVES	40	3.26	2.77	3.48
158	CIS-550-001	 VAL BREAZU TANNEN	41	2.54	2.69	2.74
159	CIS-550-001	 ZACHARY G. IVES	41	3.18	2.91	3.47
160	CIS-550-001	 ZACHARY G. IVES	52	2.97	2.67	3.31
161	CIS-550-001	 ZACHARY G. IVES	72	2.98	2.91	3.15
162	CIS-550-001	 VAL BREAZU TANNEN	90	2.28	2.33	2.26
163	CIS-550-001	 VAL BREAZU TANNEN	85	2.03	2.31	2.39
164	CIS-550-001	 ZACHARY G. IVES	143	2.83	2.82	3.02
165	CIS-550-001	 SUSAN B DAVIDSON	101	2.44	2.48	2.52
166	CIS-550-001	 ZACHARY G. IVES	120	2.82	2.6	3.28
167	CIS-560-401	 NORMAN I BADLER	45	3.04	2.79	3.21
168	CIS-560-401	 NORMAN I BADLER	45	3.04	2.73	3.12
169	CIS-560-401	 NORMAN I BADLER	39	2.65	2.77	3.1
170	CIS-560-401	 NORMAN I BADLER	34	2.68	3.44	3.12
171	CIS-560-401	 NORMAN I BADLER	55	3.15	3.12	3.36
172	CIS-560-401	 NORMAN I BADLER	46	2.78	3.47	3.03
173	CIS-560-401	 NORMAN I BADLER	31	2.77	3.08	3.04
174	CIS-560-401	 NORMAN I BADLER	49	2.95	3.19	2.73
175	CIS-560-401	 NORMAN I BADLER	66	3.12	3.24	3.18
176	CIS-560-401	 NORMAN I BADLER	52	3.02	3.06	3
177	CIS-560-401	 NORMAN I BADLER	52	3.14	3.23	2.89
178	CIS-570-001	 E CHRISTOPHER LEWIS	9	2.75	3.25	3.13
179	CIS-570-001	 E CHRISTOPHER LEWIS	8	3.29	2.83	3.43
180	CIS-570-001	 E CHRISTOPHER LEWIS	13	3.46	1.62	3.92
181	CIS-580-001	 CAMILLO JOSE TAYLOR	14	3	3.36	3.09
182	CIS-580-001	 JIANBO SHI	17	1.53	3.4	1.73
183	CIS-580-001	 JIANBO SHI	17	3.15	3	3.23
184	CIS-580-001	 KONSTANTINOS DANIILIDIS	11	2.5	3.1	2.6
185	CIS-580-001	 KONSTANTINOS DANIILIDIS	19	2.12	2.88	2.18
186	CIS-580-001	 KONSTANTINOS DANIILIDIS	20	2.55	3.17	2.65
187	CIS-580-001	 KONSTANTINOS DANIILIDIS	18	2.42	3.18	2.33
188	CIS-580-001	 KONSTANTINOS DANIILIDIS	27	2.36	3.11	2.45
189	CIS-580-001	 KONSTANTINOS DANIILIDIS	31	2.79	3.3	2.46
190	CIS-580-001	 KONSTANTINOS DANIILIDIS	32	2.24	2.96	2.48
191	CIS-580-001	 KONSTANTINOS DANIILIDIS	10	3.4	3	3.4
192	BIOL-537-401	 WARREN J. EWENS	26	3	2.5	3.5
193	BIOL-537-401	 SAMPATH K. KANNAN	35	2.29	3.14	3
194	BIOL-537-401	 WARREN J. EWENS	35	2.25	2.94	3.25
195	BIOL-537-401	 WARREN J. EWENS	10	3	2.5	3.75
196	BIOL-537-401	 SAMPATH K. KANNAN	14	3.45	3.09	3.45
197	BIOL-537-401	 WARREN J. EWENS	14	3.45	3	3.55
198	CSE-410-401	 JEAN HENRI GALLIER	7	3.33	3.17	3.5
199	CSE-410-401	 MARCELO F. SIQUEIRA	7	2.75	2	3
200	CSE-434-401	 HONGHUI LU	11	2.43	2.71	2.43
201	CSE-434-401	 HONGHUI LU	10	2	2.38	2
202	CSE-462-401	 STEPHEN LANE	19	3.05	3.26	3.21
203	CSE-462-401	 STEPHEN LANE	20	3.27	3.4	3.53
204	CSE-462-401	 STEPHEN LANE	30	3.11	3.47	3
205	CIS-573-001	 PAT G PALMER	27	2.81	2.38	3.12
206	CIS-573-901	 PAT G PALMER	15	2.62	3.08	2.46
207	CIS-573-001	 PAT G PALMER	27	2.58	2.23	2.19
208	CIS-573-901	 PAT G PALMER	15	2.4	2.33	2.4
209	CIS-573-001	 PAT G PALMER	17	2.13	2.33	2.07
210	CIS-573-001	 JONATHAN MICHAEL SMITH	25	2.47	1.65	2.59
211	CIS-573-920	 GREGORY T VESONDER	16	3.29	2.43	3.5
212	CIS-573-001	 JONATHAN MICHAEL SMITH	20	2.56	2.28	2.78
213	CIS-573-001	 JONATHAN MICHAEL SMITH	9	3.4	2	3.8
214	CIS-573-001	 CHRISTIAN MURPHY	107	2.83	2.37	3.47
215	CIS-573-001	 CHRISTIAN MURPHY	72	3.11	2.13	3.5
216	CIS-573-001	 CHRISTIAN MURPHY	72	3.16	2.21	3.55
217	CIS-573-001	 CHRISTIAN MURPHY	76	2.96	2.25	3.64
218	CSE-455-001	 ZACHARY G. IVES	14	3.5	2.64	3.93
219	CSE-455-401	 ZACHARY G. IVES	29	3.64	3.64	3.73
220	CSE-455-401	 ZACHARY G. IVES	17	3.75	3.56	3.88
221	CIS-537-001	 JAMES C. GEE	9	3.29	3.29	3.71
222	CIS-537-401	 PAUL A. YUSHKEVICH	10	3	2.89	3.33
223	CIS-537-401	 JAMES C. GEE	14	2.73	3.09	3
224	CIS-537-401	 PAUL A. YUSHKEVICH	16	3.07	3.15	3.21
225	CIS-537-401	 PAUL A. YUSHKEVICH	15	2.73	3.36	3.09
226	CIS-537-401	 PAUL A. YUSHKEVICH	17	3	3.53	3.06
227	CIS-537-401	 PAUL A. YUSHKEVICH	18	2.83	3.45	2.83
228	CIS-537-401	 PAUL A. YUSHKEVICH	13	3.45	3	3.18
229	CIS-564-910	 STEPHEN LANE	13	2.63	2.63	2.88
230	CIS-564-910	 STEPHEN LANE	8	3.38	3.25	3.38
231	CIS-564-910	 STEPHEN LANE	11	2.88	2.63	3.13
232	CIS-564-001	 STEPHEN LANE	13	2.64	2.67	2.83
233	CIS-564-910	 STEPHEN LANE	11	3	3	2.9
234	CIS-564-001	 STEPHEN LANE	9	3.13	2.57	3.5
235	CIS-564-001	 STEPHEN LANE	18	2.4	2.43	2.87
236	CIS-564-910	 STEPHEN LANE	11	3	2	3.13
237	CIS-564-910	 STEPHEN LANE	10	3.5	2.63	3.75
238	CIS-564-001	 STEPHEN LANE	17	3.07	1.92	3.36
239	CIS-564-001	 STEPHEN LANE	25	2.77	2.13	3
240	PHIL-412-401	 SCOTT WEINSTEIN	13	3.15	3.62	3.77
241	PHIL-412-401	 SCOTT WEINSTEIN	9	3.33	3.56	3.33
242	PHIL-412-401	 SCOTT WEINSTEIN	9	3.5	3.33	3.5
243	PHIL-412-401	 SCOTT WEINSTEIN	7	3.43	3.29	3.86
244	PHIL-412-401	 ANDRE SCEDROV	5	2.4	2.6	2.6
245	PHIL-412-401	 SCOTT WEINSTEIN	5	3	2.8	3.4
246	PHIL-412-401	 SCOTT WEINSTEIN	11	3.25	3.75	3.5
247	PHIL-412-401	 SCOTT WEINSTEIN	16	3.13	2.83	3.2
248	PHIL-412-401	 SCOTT WEINSTEIN	6	3	2.67	3.4
249	CSE-461-910	 MARK C. VANLANGEVELD	15	2.67	2.8	3.33
250	CSE-461-401	 PAUL DIEFENBACH	25	1.75	2	2.17
251	CSE-482-001	 RAJEEV S. ALUR	6	2.67	3	2.83
252	CSE-482-401	 RAJEEV S. ALUR	5	2.6	3	2.6
253	CIS-110-001	 JEAN GRIFFIN	127	2.45	2.27	1.95
254	CIS-110-001	 JEAN GRIFFIN	119	2.31	2.5	1.67
255	CIS-110-910	 DIANA RUSI PALSETIA	15	2.55	3	2.82
256	CIS-110-001	 JEAN GRIFFIN	164	2.33	2.53	2.03
257	CIS-110-001	 JEAN GRIFFIN	131	2.29	2.47	1.79
258	CIS-110-910	 DIANA RUSI PALSETIA	21	2.76	2.82	2.94
259	CIS-110-001	 JEAN GRIFFIN	99	2.34	2.57	1.9
260	CIS-110-910	 PETER J. DEPASQUALE	20	3.13	2.64	3.5
261	CIS-110-001	 JEAN GRIFFIN	163	2.27	2.27	1.75
262	CIS-110-001	 JEAN GRIFFIN	169	2.29	2.4	1.81
263	CIS-110-001	 PETER-MICHAEL S. OSERA	142	2.95	2.9	3.09
264	CIS-110-002	 PETER-MICHAEL S. OSERA	91	3.17	2.64	3.37
265	CIS-110-910	 PETER J. DEPASQUALE	30	2.71	1.88	2.81
266	CIS-110-001	 JEAN GRIFFIN	140	2.77	2.32	2.16
267	CIS-110-001	 BENEDICT BROWN	161	2.44	3.71	2.43
268	CIS-110-910	 BENEDICT BROWN	24	2.94	3.19	2.61
269	CIS-110-001	 BENEDICT BROWN	140	2.9	3.48	2.81
270	CIS-110-002	 BENEDICT BROWN	129	2.83	3.45	2.86
271	CIS-110-001	 BENEDICT BROWN	59	2.92	3.4	2.84
272	CIS-110-002	 BENEDICT BROWN	127	2.69	3.31	2.4
273	CIS-110-001	 ERIC EATON	188	2.75	3.4	2.85
274	CIS-110-001	 BENEDICT BROWN	188	2.75	3.4	2.77
275	CIS-110-002	 ERIC EATON	128	3.07	3.4	3.28
276	CIS-110-002	 BENEDICT BROWN	128	3.07	3.4	3.16
277	CIS-110-001	 ERIC EATON	77	2.8	3.42	3.09
278	CIS-110-001	 BENEDICT BROWN	77	2.8	3.42	2.85
279	CIS-110-002	 ERIC EATON	150	2.76	3.22	3.02
280	CIS-110-002	 BENEDICT BROWN	150	2.76	3.22	2.65
281	CIS-110-001	 ARVIND BHUSNURMATH	175	2.54	3.24	2.74
282	CIS-110-001	 BENEDICT BROWN	175	2.54	3.24	2.55
283	CIS-110-002	 ARVIND BHUSNURMATH	178	2.5	3.39	2.81
284	CIS-110-002	 BENEDICT BROWN	178	2.5	3.39	2.46
285	CIS-120-001	 FERNANDO C. PEREIRA	78	2.59	2.71	2.73
286	CIS-120-001	 MITCHELL PHILIP MARCUS	77	2.66	2.93	3
287	CIS-120-001	 BENJAMIN C. PIERCE	90	2.97	2.6	3.29
288	CIS-120-001	 STEPHANIE WEIRICH	82	2.23	2.72	2.34
289	CIS-120-001	 STEPHANIE WEIRICH	74	2.34	3.05	2.42
290	CIS-120-001	 STEPHANIE WEIRICH	141	2.13	3.26	1.97
291	CIS-120-001	 MITCHELL PHILIP MARCUS	82	2.38	2.94	2.55
292	CIS-120-002	 BENJAMIN C. PIERCE	21	3.12	3.53	3.35
293	CIS-120-002	 STEPHAN A. ZDANCEWIC	21	3.12	3.53	3.47
294	CIS-120-001	 STEPHAN A. ZDANCEWIC	163	3.18	2.92	3.39
295	CIS-120-001	 MITCHELL PHILIP MARCUS	107	2.55	3.01	2.75
296	CIS-120-001	 STEPHANIE WEIRICH	145	2.74	3.13	2.33
297	CIS-120-001	 STEPHAN A. ZDANCEWIC	164	3.12	2.82	3.33
298	CIS-120-001	 STEPHANIE WEIRICH	172	2.85	3.19	2.4
299	CIS-120-001	 BENJAMIN C. PIERCE	199	3.17	3.2	3.23
300	CIS-120-001	 STEPHANIE WEIRICH	175	2.97	3.15	2.7
301	CIS-120-001	 STEPHAN A. ZDANCEWIC	218	3.01	3.08	3.18
302	CIS-121-001	 VAL BREAZU TANNEN	36	2.91	3.48	3.39
303	CIS-121-001	 VAL BREAZU TANNEN	64	2.31	2.95	2.68
304	CIS-121-001	 KONSTANTINOS DANIILIDIS	49	2.21	2.79	1.98
305	CIS-121-001	 KONSTANTINOS DANIILIDIS	43	2.06	3.03	1.87
306	CIS-121-001	 KONSTANTINOS DANIILIDIS	51	2.39	2.93	1.9
307	CIS-121-001	 BENJAMIN TASKAR	56	2.04	3.05	1.96
308	CIS-121-001	 KONSTANTINOS DANIILIDIS	71	2.49	2.96	2.11
309	CIS-121-001	 KONSTANTINOS DANIILIDIS	92	2.33	2.82	2.23
310	CIS-121-001	 VAL BREAZU TANNEN	61	2.6	3.3	2.75
311	CIS-121-001	 JULIA D. STOYANOVICH	139	1.76	2.66	1.88
312	CIS-121-001	 KONSTANTINOS DANIILIDIS	105	2.23	3.13	2.2
313	CIS-121-001	 VAL BREAZU TANNEN	102	2.02	3.11	2.3
314	CIS-121-001	 VAL BREAZU TANNEN	124	2.25	3.46	2.44
315	CIS-121-001	 RAJIV GANDHI	135	3.23	3.62	3.57
316	CIS-121-001	 KONSTANTINOS DANIILIDIS	150	2.47	3.13	2.07
317	CIS-140-401	 VIRGINIA M. RICHARDS	112	2.41	2.77	2.48
318	CIS-140-401	 LYLE H UNGAR	112	2.44	2.76	3.06
319	CIS-140-401	 LYLE H UNGAR	137	2.84	2.6	3.08
320	CIS-140-401	 DAVID HOYT BRAINARD	137	2.84	2.6	3.06
321	CIS-140-401	 VIRGINIA M. RICHARDS	140	2.43	2.72	2.42
322	CIS-140-401	 LYLE H UNGAR	140	2.51	2.7	3.06
323	CIS-140-401	 LYLE H UNGAR	183	2.59	2.64	3.11
324	CIS-140-401	 DAVID HOYT BRAINARD	183	2.59	2.64	2.83
325	CIS-140-401	 LYLE H UNGAR	176	2.71	2.19	3.09
326	CIS-140-401	 DAVID HOYT BRAINARD	176	2.71	2.19	2.95
327	CIS-140-401	 LYLE H UNGAR	185	2.57	1.91	2.79
328	CIS-140-401	 DAVID HOYT BRAINARD	185	2.57	1.91	2.93
329	CIS-140-401	 LYLE H UNGAR	167	2.8	2.06	3.05
330	CIS-140-401	 DAVID HOYT BRAINARD	167	2.8	2.06	3.2
331	CIS-140-401	 LYLE H UNGAR	177	2.63	2.03	2.84
332	CIS-140-401	 DAVID HOYT BRAINARD	177	2.63	2.03	3.1
333	CIS-240-001	 JONATHAN MICHAEL SMITH	103	2.64	2.14	1.98
334	CIS-240-001	 AMIR ROTH	113	2.59	3.58	2.66
335	CIS-240-001	 AMIR ROTH	86	2.52	3.29	3.05
336	CIS-240-001	 CAMILLO JOSE TAYLOR	139	2.72	3.22	3.07
337	CIS-240-001	 CAMILLO JOSE TAYLOR	147	3.17	3.27	3.26
338	CIS-240-001	 CAMILLO JOSE TAYLOR	197	2.64	3.45	2.93
339	CIS-240-001	 THOMAS FARMER	86	2.83	3.56	2.6
340	CIS-240-001	 CAMILLO JOSE TAYLOR	172	2.95	3.46	3.06
341	CIS-240-001	 THOMAS FARMER	110	2.38	3.39	2.48
342	CIS-240-001	 CAMILLO JOSE TAYLOR	151	2.43	3.5	2.51
343	CIS-261-001	 MAX MINTZ	7	3.86	2.71	3.86
344	CIS-261-001	 MAX MINTZ	6	3.4	2.4	3.8
345	CIS-261-001	 MAX MINTZ	5	3.8	3	4
346	CIS-261-001	 MAX MINTZ	16	3.25	3.1	3.92
347	CIS-261-001	 MAX MINTZ	12	3.27	2.4	3.82
348	CIS-261-001	 MAX MINTZ	14	3.38	3	3.69
349	CIS-261-001	 MAX MINTZ	13	2.63	3	3.13
350	CIS-261-001	 MAX MINTZ	16	3.38	3.08	3.69
351	CIS-262-001	 JEAN HENRI GALLIER	80	2.44	3.32	3.32
352	CIS-262-001	 RAJEEV S. ALUR	96	2.64	3.13	2.78
353	CIS-262-001	 RAJEEV S. ALUR	81	2.53	3.42	2.89
354	CIS-262-001	 RAJEEV S. ALUR	96	2.55	3.34	2.64
355	CIS-262-001	 RAJEEV S. ALUR	110	2.47	3.24	2.57
356	CIS-262-001	 AARON L ROTH	154	2.09	3.29	2.47
357	CIS-262-001	 RAJEEV S. ALUR	156	2.04	3.38	2.06
